SID,start_time,end_time,start_year,max_wind,n_track_points,mean_lat,mean_lon,peak_intensity
1960173N08137,1960-06-23 18:00:00,1960-06-30 18:00:00,1960,125.0,57,16.549122807017543,119.59649122807018,TY
1960199N17129,1960-07-17 12:00:00,1960-07-28 21:00:00,1960,115.0,92,24.633695652173916,126.08369565217392,TY
1960210N13134,1960-07-29 06:00:00,1960-08-01 21:00:00,1960,135.0,30,23.423333333333336,123.08999999999999,STY
1960215N11138,1960-08-04 00:00:00,1960-08-09 09:00:00,1960,125.0,44,21.188636363636363,128.1159090909091,TY
1960223N21127,1960-08-12 00:00:00,1960-08-16 00:00:00,1960,50.0,30,22.886666666666667,124.43333333333334,TS
1960227N23126,1960-08-16 00:00:00,1960-08-23 21:00:00,1960,75.0,64,27.921875,127.26875,TY
1960231N22117,1960-08-19 18:00:00,1960-08-24 21:00:00,1960,75.0,42,21.761904761904763,119.54047619047618,TY
1960243N11137,1960-08-30 12:00:00,1960-09-03 21:00:00,1960,45.0,36,14.052777777777779,123.9361111111111,TS
1960253N09153,1960-09-11 18:00:00,1960-09-19 06:00:00,1960,40.0,61,16.30327868852459,126.81147540983606,TS
1960273N10142,1960-10-02 12:00:00,1960-10-13 15:00:00,1960,90.0,90,15.668888888888889,119.75666666666667,TY
1960282N21132,1960-10-08 12:00:00,1960-10-17 03:00:00,1960,80.0,70,17.785714285714285,121.15857142857143,TY
1960294N13138,1960-10-23 00:00:00,1960-10-27 09:00:00,1960,110.0,36,22.844444444444445,135.0638888888889,TY
1960327N09161,1960-11-21 12:00:00,1960-12-08 18:00:00,1960,135.0,128,17.71328125,153.28046875,STY
1960346N07148,1960-12-11 00:00:00,1960-12-20 00:00:00,1960,105.0,73,14.07123287671233,132.05342465753424,TY
1961014N07141,1961-01-14 12:00:00,1961-01-19 09:00:00,1961,40.0,40,11.3,134.65,TS
1961058N06132,1961-02-27 06:00:00,1961-03-01 12:00:00,1961,30.0,6,8.716666666666667,130.41666666666666,TD
1961081N08148,1961-03-24 00:00:00,1961-03-31 03:00:00,1961,130.0,58,13.398275862068965,136.65862068965518,STY
1961141N09135,1961-05-22 06:00:00,1961-05-28 03:00:00,1961,130.0,48,19.070833333333333,125.41458333333333,STY
1961173N09139,1961-06-24 00:00:00,1961-07-02 03:00:00,1961,45.0,40,21.06,125.045,TS
1961188N10147,1961-07-12 12:00:00,1961-07-15 03:00:00,1961,80.0,22,21.95,120.34545454545454,TY
1961193N12146,1961-07-16 00:00:00,1961-07-19 15:00:00,1961,45.0,30,18.596666666666668,121.03999999999999,TS
1961204N12147,1961-07-27 06:00:00,1961-08-03 09:00:00,1961,90.0,58,28.21379310344828,129.9551724137931,TY
1961213N12134,1961-08-01 06:00:00,1961-08-08 12:00:00,1961,95.0,58,18.81206896551724,125.49310344827587,TY
1961231N12134,1961-08-20 12:00:00,1961-08-26 03:00:00,1961,120.0,46,19.31304347826087,124.73695652173912,TY
1961248N18155,1961-09-08 18:00:00,1961-09-12 09:00:00,1961,155.0,30,22.883333333333333,128.91666666666666,STY
1961250N07173,1961-09-07 18:00:00,1961-09-16 21:00:00,1961,185.0,74,19.22837837837838,140.75135135135136,STY
1961265N11156,1961-09-25 06:00:00,1961-09-29 15:00:00,1961,70.0,36,21.336111111111112,124.74166666666666,TY
1961269N11161,1961-09-27 06:00:00,1961-10-05 03:00:00,1961,140.0,64,24.2546875,132.371875,STY
1961339N08137,1961-12-06 06:00:00,1961-12-13 18:00:00,1961,130.0,61,15.608196721311476,126.65901639344261,STY
1962033N06129,1962-02-02 00:00:00,1962-02-06 06:00:00,1962,45.0,31,7.312903225806451,128.88387096774193,TS
1962135N07132,1962-05-16 06:00:00,1962-05-22 12:00:00,1962,80.0,51,18.32941176470588,126.70588235294117,TY
1962145N08133,1962-05-26 06:00:00,1962-05-29 21:00:00,1962,60.0,30,14.886666666666667,125.53333333333333,TS
1962187N17129,1962-07-07 06:00:00,1962-07-10 21:00:00,1962,80.0,30,27.35,127.46000000000001,TY
1962198N15124,1962-07-18 12:00:00,1962-07-23 21:00:00,1962,80.0,44,21.338636363636365,120.72272727272728,TY
1962206N14140,1962-07-28 06:00:00,1962-08-03 09:00:00,1962,75.0,50,26.424,128.504,TY
1962211N09153,1962-07-30 06:00:00,1962-08-07 12:00:00,1962,145.0,63,17.187301587301587,133.72063492063492,STY
1962217N10142,1962-08-06 00:00:00,1962-08-11 09:00:00,1962,65.0,44,14.679545454545455,120.65681818181817,TY
1962226N22128,1962-08-15 06:00:00,1962-08-22 18:00:00,1962,75.0,61,27.342622950819674,127.34098360655739,TY
1962236N20131,1962-08-25 06:00:00,1962-08-28 06:00:00,1962,70.0,24,26.666666666666668,132.17916666666667,TY
1962237N07155,1962-08-27 12:00:00,1962-09-01 18:00:00,1962,95.0,43,19.230232558139534,123.2767441860465,TY
1962241N14150,1962-08-29 06:00:00,1962-09-07 03:00:00,1962,140.0,66,20.424242424242426,131.91363636363636,STY
1962261N15121,1962-09-19 00:00:00,1962-09-23 00:00:00,1962,70.0,33,18.23939393939394,111.89696969696969,TY
1962268N12144,1962-09-27 00:00:00,1962-10-04 03:00:00,1962,100.0,58,18.917241379310347,130.96724137931034,TY
1962292N11139,1962-10-20 00:00:00,1962-10-30 18:00:00,1962,115.0,87,18.22183908045977,131.58275862068967,TY
1962308N08138,1962-11-06 06:00:00,1962-11-12 12:00:00,1962,90.0,51,15.01372549019608,114.20980392156862,TY
1962311N06154,1962-11-07 18:00:00,1962-11-18 18:00:00,1962,160.0,82,18.271951219512193,143.41951219512194,STY
1962327N05144,1962-11-25 00:00:00,1962-12-01 18:00:00,1962,100.0,52,9.465384615384615,119.30192307692307,TY
1963147N12135,1963-05-31 06:00:00,1963-06-05 15:00:00,1963,70.0,44,24.50909090909091,135.31136363636364,TY
1963158N20116,1963-06-08 00:00:00,1963-06-13 18:00:00,1963,50.0,47,23.268085106382976,125.26595744680851,TS
1963163N13135,1963-06-13 06:00:00,1963-06-20 03:00:00,1963,140.0,56,21.416071428571428,128.43392857142857,STY
1963167N09156,1963-06-26 06:00:00,1963-07-01 06:00:00,1963,70.0,41,18.429268292682927,120.04634146341462,TY
1963182N11144,1963-07-05 06:00:00,1963-07-09 12:00:00,1963,50.0,35,25.68,134.57428571428574,TS
1963190N15149,1963-07-09 18:00:00,1963-07-17 03:00:00,1963,135.0,60,18.09,134.165,STY
1963196N10146,1963-07-17 12:00:00,1963-07-22 18:00:00,1963,85.0,43,17.844186046511627,122.46744186046513,TY
