SID,start_time,end_time,start_year,max_wind,n_track_points,mean_lat,mean_lon,par_max_wind,peak_intensity,par_peak_intensity
1960154N12137,1960-06-03 18:00:00,1960-06-11 12:00:00,1960,60.0,63,26.038095238095238,137.6095238095238,60.0,TS,TS
1960173N08137,1960-06-23 18:00:00,1960-06-30 18:00:00,1960,125.0,57,16.549122807017543,119.59649122807018,125.0,TY,TY
1960199N17129,1960-07-17 12:00:00,1960-07-29 18:00:00,1960,115.0,99,25.943434343434344,125.7949494949495,115.0,TY,TY
1960210N13134,1960-07-29 00:00:00,1960-08-02 18:00:00,1960,135.0,39,24.451282051282053,122.45897435897434,135.0,STY,STY
1960215N11138,1960-08-04 00:00:00,1960-08-10 00:00:00,1960,125.0,49,21.46530612244898,126.78979591836735,125.0,TY,TY
1960223N21127,1960-08-12 00:00:00,1960-08-16 00:00:00,1960,50.0,33,22.76060606060606,123.65151515151516,50.0,TS,TS
1960227N23126,1960-08-16 00:00:00,1960-08-24 00:00:00,1960,75.0,65,28.253846153846155,127.35692307692308,75.0,TY,TY
1960231N22117,1960-08-19 18:00:00,1960-08-25 06:00:00,1960,75.0,45,21.87333333333333,119.33333333333333,75.0,TY,TY
1960243N11137,1960-08-30 12:00:00,1960-09-04 00:00:00,1960,45.0,37,14.116216216216214,123.56756756756756,45.0,TS,TS
1960253N09153,1960-09-11 12:00:00,1960-09-19 06:00:00,1960,40.0,63,16.174603174603174,127.21746031746031,35.0,TS,TS
1960273N10142,1960-10-02 12:00:00,1960-10-13 18:00:00,1960,90.0,91,15.685714285714287,119.57252747252748,90.0,TY,TY
1960282N21132,1960-10-08 12:00:00,1960-10-17 06:00:00,1960,80.0,71,17.798591549295775,120.9338028169014,80.0,TY,TY
1960294N13138,1960-10-23 00:00:00,1960-10-29 12:00:00,1960,110.0,53,31.120754716981132,145.8679245283019,100.0,TY,TY
1960327N09161,1960-11-21 12:00:00,1960-12-08 18:00:00,1960,135.0,139,18.136690647482013,154.0769784172662,135.0,STY,STY
1960346N07148,1960-12-11 00:00:00,1960-12-20 00:00:00,1960,105.0,73,14.07123287671233,132.05342465753424,105.0,TY,TY
1961014N07141,1961-01-14 12:00:00,1961-01-20 06:00:00,1961,40.0,47,11.74255319148936,135.81702127659574,40.0,TS,TS
1961058N06132,1961-02-27 06:00:00,1961-03-01 12:00:00,1961,40.0,19,9.042105263157895,130.26842105263157,40.0,TS,TS
1961081N08148,1961-03-24 00:00:00,1961-03-31 06:00:00,1961,130.0,59,13.559322033898304,136.68305084745762,130.0,STY,STY
1961141N09135,1961-05-22 06:00:00,1961-05-28 12:00:00,1961,130.0,51,20.04901960784314,125.56666666666666,130.0,STY,STY
1961173N09139,1961-06-23 06:00:00,1961-07-02 06:00:00,1961,45.0,73,20.64246575342466,128.03972602739725,45.0,TS,TS
1961188N10147,1961-07-12 12:00:00,1961-07-15 06:00:00,1961,80.0,23,22.034782608695654,120.1304347826087,80.0,TY,TY
1961193N12146,1961-07-16 00:00:00,1961-07-19 18:00:00,1961,45.0,31,18.73548387096774,120.7709677419355,40.0,TS,TS
1961204N12147,1961-07-27 06:00:00,1961-08-03 18:00:00,1961,90.0,61,28.70983606557377,129.88196721311476,85.0,TY,TY
1961213N12134,1961-08-01 06:00:00,1961-08-08 12:00:00,1961,95.0,59,18.922033898305088,125.37288135593221,95.0,TY,TY
1961231N12134,1961-08-20 12:00:00,1961-08-26 12:00:00,1961,120.0,49,19.685714285714287,124.21428571428571,120.0,TY,TY
1961248N18155,1961-09-08 12:00:00,1961-09-12 18:00:00,1961,155.0,35,22.931428571428572,128.26000000000002,155.0,STY,STY
1961250N07173,1961-09-07 12:00:00,1961-09-17 12:00:00,1961,185.0,81,20.91851851851852,141.69629629629628,180.0,STY,STY
1961265N11156,1961-09-25 06:00:00,1961-09-29 18:00:00,1961,70.0,37,21.343243243243244,124.37027027027027,70.0,TY,TY
1961269N11161,1961-09-27 06:00:00,1961-10-05 06:00:00,1961,140.0,65,24.378461538461536,132.2153846153846,135.0,STY,STY
1961339N08137,1961-12-05 06:00:00,1961-12-13 18:00:00,1961,130.0,69,14.815942028985507,127.64202898550724,130.0,STY,STY
1962033N06129,1962-02-02 00:00:00,1962-02-06 06:00:00,1962,45.0,35,7.088571428571428,128.85714285714286,45.0,TS,TS
1962135N07132,1962-05-16 06:00:00,1962-05-22 12:00:00,1962,80.0,51,18.32941176470588,126.70588235294117,80.0,TY,TY
1962145N08133,1962-05-26 06:00:00,1962-05-30 00:00:00,1962,60.0,31,15.02258064516129,125.51612903225806,60.0,TS,TS
1962187N17129,1962-07-07 06:00:00,1962-07-11 06:00:00,1962,80.0,33,28.6030303030303,128.08181818181816,78.0,TY,TY
1962198N15124,1962-07-18 12:00:00,1962-07-24 00:00:00,1962,80.0,45,21.502222222222223,120.68666666666665,80.0,TY,TY
1962206N14140,1962-07-26 06:00:00,1962-08-04 00:00:00,1962,75.0,71,25.245070422535214,130.5901408450704,70.0,TY,TY
1962211N09153,1962-07-30 06:00:00,1962-08-07 12:00:00,1962,145.0,67,17.97313432835821,132.78507462686568,145.0,STY,STY
1962217N10142,1962-08-06 00:00:00,1962-08-11 18:00:00,1962,65.0,47,15.172340425531916,119.70212765957447,65.0,TY,TY
1962226N22128,1962-08-15 06:00:00,1962-08-22 18:00:00,1962,75.0,61,27.342622950819674,127.34098360655739,75.0,TY,TY
1962236N20131,1962-08-25 06:00:00,1962-08-28 06:00:00,1962,70.0,25,26.908,132.148,70.0,TY,TY
1962237N07155,1962-08-27 12:00:00,1962-09-01 18:00:00,1962,95.0,43,19.230232558139534,123.2767441860465,90.0,TY,TY
1962241N14150,1962-08-29 06:00:00,1962-09-08 00:00:00,1962,140.0,79,22.588607594936708,130.46708860759495,140.0,STY,STY
1962261N15121,1962-09-19 00:00:00,1962-09-23 00:00:00,1962,70.0,33,18.23939393939394,111.89696969696969,30.0,TY,TD
1962268N12144,1962-09-25 06:00:00,1962-10-04 06:00:00,1962,100.0,73,17.806849315068494,132.63972602739727,100.0,TY,TY
1962292N11139,1962-10-19 06:00:00,1962-10-30 18:00:00,1962,115.0,93,17.806451612903224,131.82365591397848,115.0,TY,TY
1962308N08138,1962-11-06 06:00:00,1962-11-12 12:00:00,1962,90.0,51,15.01372549019608,114.20980392156862,90.0,TY,TY
1962311N06154,1962-11-07 18:00:00,1962-11-18 18:00:00,1962,160.0,89,19.526966292134833,145.59775280898876,160.0,STY,STY
1962327N05144,1962-11-25 00:00:00,1962-12-01 18:00:00,1962,100.0,55,9.505454545454544,118.32727272727273,95.0,TY,TY
1963147N12135,1963-05-31 06:00:00,1963-06-06 00:00:00,1963,70.0,47,25.4,136.3659574468085,70.0,TY,TY
1963158N20116,1963-06-08 00:00:00,1963-06-13 18:00:00,1963,50.0,47,23.268085106382976,125.26595744680851,50.0,TS,TS
