SID,start_time,end_time,start_year,max_wind,n_track_points,mean_lat,mean_lon,any_landfall,first_landfall_time,first_landfall_lat,first_landfall_lon,first_landfall_wind,first_landfall_nature,peak_intensity,landfall_intensity
1972307N18144,1972-11-03 00:00:00,1972-11-09 18:00:00,1972,110.0,55,16.44181818181818,120.65454545454546,True,1972-11-05 00:00:00,12.3,124.8,75.0,TS,TY,TY
1972335N06142,1972-11-30 00:00:00,1972-12-12 00:00:00,1972,105.0,97,11.395876288659794,120.06701030927834,True,1972-12-03 06:00:00,8.3,126.1,75.0,TS,TY,TY
1973179N11128,1973-06-30 00:00:00,1973-07-06 00:00:00,1973,60.0,49,23.83877551020408,117.7938775510204,True,1973-06-30 00:00:00,16.8,122.0,25.0,TS,TS,TD
1973242N12136,1973-09-02 00:00:00,1973-09-09 00:00:00,1973,75.0,57,19.90701754385965,113.56315789473685,True,1973-09-02 18:00:00,18.9,121.9,40.0,TS,TY,TS
1973253N14129,1973-09-11 00:00:00,1973-09-16 00:00:00,1973,80.0,41,18.787804878048778,112.4829268292683,True,1973-09-11 12:00:00,16.8,122.4,30.0,MX,TY,TD
1973284N12144,1973-10-11 00:00:00,1973-10-21 00:00:00,1973,90.0,81,16.5,120.68024691358025,True,1973-10-15 15:00:00,15.7,121.3,68.0,TS,TY,TY
1973317N08122,1973-11-14 00:00:00,1973-11-18 12:00:00,1973,55.0,37,9.767567567567568,107.7,True,1973-11-14 00:00:00,9.1,118.0,25.0,TS,TS,TD
1973320N05142,1973-11-19 00:00:00,1973-11-27 12:00:00,1973,50.0,69,14.04782608695652,118.11739130434783,True,1973-11-19 21:00:00,11.5,125.2,30.0,TS,TS,TD
1974156N06144,1974-06-07 00:00:00,1974-06-14 18:00:00,1974,70.0,63,16.482539682539684,118.36984126984127,True,1974-06-10 06:00:00,16.1,121.3,60.0,TS,TY,TS
1974197N11147,1974-07-16 00:00:00,1974-07-24 00:00:00,1974,95.0,65,16.76,123.84615384615384,True,1974-07-20 03:00:00,15.7,121.5,78.0,TS,TY,TY
1974280N11143,1974-10-08 00:00:00,1974-10-14 12:00:00,1974,65.0,53,17.249056603773585,120.94905660377358,True,1974-10-11 00:00:00,17.7,122.1,65.0,TS,TY,TY
1974286N11138,1974-10-13 00:00:00,1974-10-20 12:00:00,1974,75.0,61,16.68360655737705,121.19836065573772,True,1974-10-16 09:00:00,16.2,122.0,65.0,TS,TY,TY
1974291N10150,1974-10-20 00:00:00,1974-10-27 12:00:00,1974,90.0,61,17.272131147540982,119.40655737704918,True,1974-10-23 06:00:00,19.3,121.5,70.0,TS,TY,TY
1974296N14148,1974-10-23 00:00:00,1974-11-01 00:00:00,1974,95.0,73,18.102739726027398,125.93287671232878,True,1974-10-28 00:00:00,17.5,121.6,80.0,TS,TY,TY
1974303N13130,1974-10-31 00:00:00,1974-11-05 12:00:00,1974,55.0,45,14.084444444444443,115.67777777777778,True,1974-11-01 18:00:00,13.7,121.1,35.0,TS,TS,TS
1974306N07142,1974-11-02 00:00:00,1974-11-10 00:00:00,1974,120.0,65,15.410769230769231,127.77076923076923,True,1974-11-07 00:00:00,18.0,121.5,95.0,TS,TY,TY
1974324N08146,1974-11-20 00:00:00,1974-12-03 00:00:00,1974,115.0,105,14.964761904761904,127.50666666666667,True,1974-11-28 03:00:00,15.4,121.1,80.0,TS,TY,TY
1974352N09140,1974-12-18 00:00:00,1974-12-24 12:00:00,1974,40.0,53,10.354716981132075,122.00754716981132,True,1974-12-20 12:00:00,11.2,124.9,30.0,TS,TS,TD
1975019N09140,1975-01-21 00:00:00,1975-01-28 12:00:00,1975,70.0,61,11.211475409836066,123.3983606557377,True,1975-01-24 09:00:00,9.6,125.5,58.0,TS,TY,TS
1975111N05132,1975-04-22 00:00:00,1975-04-28 00:00:00,1975,25.0,49,11.459183673469388,119.71020408163265,True,1975-04-22 00:00:00,8.3,125.9,20.0,MX,TD,TD
1975258N12132,1975-09-15 00:00:00,1975-09-21 06:00:00,1975,75.0,51,16.26078431372549,118.61372549019609,True,1975-09-17 21:00:00,16.1,121.1,70.0,TS,TY,TY
1975281N10142,1975-10-08 00:00:00,1975-10-15 00:00:00,1975,135.0,57,18.056140350877193,126.21052631578948,True,1975-10-12 09:00:00,20.7,121.8,128.0,TS,STY,TY
1975288N13138,1975-10-15 00:00:00,1975-10-23 12:00:00,1975,70.0,58,16.25344827586207,121.98275862068965,True,1975-10-19 00:00:00,17.1,121.5,25.0,TS,TY,TD
1975305N14125,1975-11-01 00:00:00,1975-11-04 12:00:00,1975,45.0,29,14.075862068965517,117.12068965517241,True,1975-11-02 00:00:00,14.9,121.1,25.0,TS,TS,TD
1975360N10127,1975-12-26 00:00:00,1975-12-30 12:00:00,1975,30.0,37,14.694594594594596,127.30000000000001,True,1975-12-27 18:00:00,14.2,121.6,30.0,TS,TD,TD
1976131N12142,1976-05-10 00:00:00,1976-05-28 12:00:00,1976,100.0,149,15.901342281879195,128.5691275167785,True,1976-05-21 00:00:00,16.5,122.2,100.0,TS,TY,TY
